235919008 -> 65275009 | Standardized Lift: 1.0000 | Lift: 433.8748 | Confidence: 1.0000 | Interest: 0.002300
428251008 -> 74400008 | Standardized Lift: 1.0000 | Lift: 21.4633 | Confidence: 1.0000 | Interest: 0.044421
128613002 -> 703151001 | Standardized Lift: 1.0000 | Lift: 27.1140 | Confidence: 1.0000 | Interest: 0.035521
22298006 -> 399211009 | Standardized Lift: 1.0000 | Lift: 46.9187 | Confidence: 1.0000 | Interest: 0.020859
410429000 -> 429007001 | Standardized Lift: 1.0000 | Lift: 26.8225 | Confidence: 1.0000 | Interest: 0.035892
236077008 -> 6072007 | Standardized Lift: 1.0000 | Lift: 261.7770 | Confidence: 1.0000 | Interest: 0.003805
254637007 -> 424132000 | Standardized Lift: 0.9997 | Lift: 90.7833 | Confidence: 0.9997 | Interest: 0.010890
162573006,254637007 -> 424132000 | Standardized Lift: 0.9997 | Lift: 90.7833 | Confidence: 0.9997 | Interest: 0.010890
254632001 -> 67811000119102 | Standardized Lift: 0.9996 | Lift: 514.4791 | Confidence: 0.9996 | Interest: 0.001939
162573006,254632001 -> 67811000119102 | Standardized Lift: 0.9996 | Lift: 514.4791 | Confidence: 0.9996 | Interest: 0.001939
237602007 -> 302870006 | Standardized Lift: 0.9775 | Lift: 15.2329 | Confidence: 1.0000 | Interest: 0.060049
302870006 -> 44054006 | Standardized Lift: 0.9724 | Lift: 14.8394 | Confidence: 0.9910 | Interest: 0.060673
431856006 -> 90781000119102 | Standardized Lift: 0.9696 | Lift: 238.1358 | Confidence: 1.0000 | Interest: 0.004055
127013003,431856006 -> 90781000119102 | Standardized Lift: 0.9696 | Lift: 238.1358 | Confidence: 1.0000 | Interest: 0.004055
431856006,44054006 -> 90781000119102 | Standardized Lift: 0.9696 | Lift: 238.1358 | Confidence: 1.0000 | Interest: 0.004055
302870006,431856006 -> 90781000119102 | Standardized Lift: 0.9694 | Lift: 238.1358 | Confidence: 1.0000 | Interest: 0.004054
237602007,431856006 -> 90781000119102 | Standardized Lift: 0.9688 | Lift: 238.1358 | Confidence: 1.0000 | Interest: 0.004052
237602007 -> 44054006 | Standardized Lift: 0.9571 | Lift: 14.9347 | Confidence: 0.9974 | Interest: 0.059807
237602007,302870006 -> 44054006 | Standardized Lift: 0.9571 | Lift: 14.9347 | Confidence: 0.9974 | Interest: 0.059807
127013003 -> 431855005 | Standardized Lift: 0.9320 | Lift: 33.4473 | Confidence: 0.9339 | Interest: 0.027086
127013003,237602007 -> 431855005 | Standardized Lift: 0.9320 | Lift: 33.4472 | Confidence: 0.9339 | Interest: 0.027050
127013003,302870006 -> 431855005 | Standardized Lift: 0.9320 | Lift: 33.4470 | Confidence: 0.9339 | Interest: 0.027071
126906006 -> 92691004 | Standardized Lift: 0.9081 | Lift: 39.9799 | Confidence: 0.9102 | Interest: 0.022196
162573006 -> 254637007 | Standardized Lift: 0.8474 | Lift: 77.0845 | Confidence: 0.8491 | Interest: 0.010872
162573006 -> 424132000 | Standardized Lift: 0.8472 | Lift: 77.0845 | Confidence: 0.8488 | Interest: 0.010869
127013003,271737000 -> 431855005 | Standardized Lift: 0.7923 | Lift: 33.5107 | Confidence: 0.9357 | Interest: 0.021597
237602007,271737000 -> 302870006 | Standardized Lift: 0.7783 | Lift: 15.2329 | Confidence: 1.0000 | Interest: 0.048445
271737000,302870006 -> 44054006 | Standardized Lift: 0.7739 | Lift: 14.8348 | Confidence: 0.9907 | Interest: 0.048946
237602007,271737000 -> 44054006 | Standardized Lift: 0.7620 | Lift: 14.9348 | Confidence: 0.9974 | Interest: 0.048251
124171000119105 -> 82423001 | Standardized Lift: 0.7605 | Lift: 16.2529 | Confidence: 0.7719 | Interest: 0.034423
124171000119105 -> 196416002 | Standardized Lift: 0.7597 | Lift: 16.2269 | Confidence: 0.7725 | Interest: 0.034446
196416002 -> 82423001 | Standardized Lift: 0.7591 | Lift: 16.2257 | Confidence: 0.7706 | Interest: 0.034421
