track_id,cluster,genre
1364,DS_5,Rock
10833,DS_5,Rock
778,DS_5,Rock
575,DS_5,Rock
7847,DS_5,Rock
12098,DS_5,Electronic
6608,DS_5,Hip-Hop
565,DS_5,Rock
6633,DS_5,Rock
11264,DS_5,Rock
1368,DS_5,Rock
3961,DS_5,Rock
3669,DS_5,Rock
4795,DS_5,Rock
9518,DS_5,Rock
10263,DS_5,Electronic
11305,DS_5,Rock
12096,DS_5,Electronic
14518,DS_5,Electronic
395,DS_5,Rock
14612,DS_5,Experimental
1732,DS_5,Experimental
1730,DS_5,Rock
3637,DS_5,Rock
10180,DS_5,Rock
4828,DS_5,Rock
3834,DS_5,Rock
8334,DS_5,Experimental
12255,DS_5,Rock
11662,DS_5,Rock
1918,DS_5,Folk
12612,DS_5,Rock
14202,DS_5,Rock
827,DS_5,Rock
9847,DS_5,Experimental
14063,DS_5,Electronic
1781,DS_5,Rock
1784,DS_5,Rock
580,DS_5,Rock
1805,DS_5,Rock
1714,DS_5,Rock
9315,DS_5,Experimental
11630,DS_5,Instrumental
1044,DS_5,Blues
2125,DS_5,Rock
12362,DS_5,Rock
14105,DS_5,Electronic
11080,DS_5,Rock
13008,DS_5,Experimental
11800,DS_5,Hip-Hop
1748,DS_5,Rock
7553,DS_5,Experimental
10525,DS_5,Experimental
11991,DS_5,Electronic
14364,DS_5,Hip-Hop
3572,DS_5,Electronic
14725,DS_5,Rock
11824,DS_5,Hip-Hop
10934,DS_5,Rock
1770,DS_5,Rock
13451,DS_5,Rock
4008,DS_5,Experimental
1595,DS_5,Rock
9541,DS_5,Rock
9990,DS_5,Rock
550,DS_5,Electronic
3835,DS_5,Rock
1771,DS_5,Rock
9999,DS_5,Rock
4790,DS_5,Rock
10118,DS_5,Electronic
1783,DS_5,Rock
855,DS_5,Rock
1728,DS_5,Rock
10150,DS_5,Rock
1365,DS_5,Rock
14866,DS_5,Electronic
1874,DS_5,Electronic
11095,DS_5,Rock
1366,DS_5,Rock
5188,DS_5,Pop
7211,DS_5,Rock
3453,DS_5,Electronic
548,DS_5,Folk
3973,DS_5,Rock
605,DS_5,Rock
13794,DS_5,Rock
4020,DS_5,Rock
10052,DS_5,Rock
14543,DS_5,Hip-Hop
10936,DS_5,Rock
14333,DS_5,Rock
4836,DS_5,Rock
13545,DS_5,Rock
8215,DS_5,Rock
1280,DS_5,Rock
9339,DS_5,Experimental
7899,DS_5,Rock
4019,DS_5,Rock
10171,DS_5,Rock
1591,DS_5,Rock
1013,DS_5,Rock
13887,DS_5,Rock
10805,DS_5,Pop
1792,DS_5,Rock
3840,DS_5,Rock
5245,DS_5,Rock
284,DS_5,Experimental
4372,DS_5,Rock
1611,DS_5,Rock
866,DS_5,Experimental
7784,DS_5,Rock
5101,DS_5,Rock
10061,DS_5,Rock
1880,DS_5,Electronic
8199,DS_5,Rock
4350,DS_5,Rock
10979,DS_5,Rock
769,DS_5,Soul-RnB
1603,DS_5,Rock
11437,DS_5,Rock
10422,DS_5,Experimental
1645,DS_5,Pop
12243,DS_5,Rock
1648,DS_5,Pop
11661,DS_5,Rock
1614,DS_5,Rock
14206,DS_5,Rock
5103,DS_5,Rock
14793,DS_5,Electronic
11689,DS_5,Electronic
3859,DS_5,Rock
3967,DS_5,Rock
1249,DS_5,Experimental
1594,DS_5,Rock
3836,DS_5,Rock
4274,DS_5,Rock
5187,DS_5,Pop
12194,DS_5,Hip-Hop
14389,DS_5,Hip-Hop
7192,DS_5,Rock
1795,DS_5,Rock
14156,DS_5,Rock
712,DS_5,Rock
7787,DS_5,Rock
1484,DS_5,Electronic
11101,DS_5,Rock
5986,DS_5,Rock
5164,DS_5,Rock
11821,DS_5,Hip-Hop
2112,DS_5,Experimental
9739,DS_5,Rock
1954,DS_5,Rock
1725,DS_5,Rock
729,DS_5,Experimental
1122,DS_5,Electronic
10058,DS_5,Rock
11100,DS_5,Rock
11649,DS_5,Rock
10696,DS_5,Hip-Hop
9996,DS_5,Rock
1741,DS_5,Rock
13224,DS_5,Electronic
8287,DS_5,Experimental
1009,DS_5,Rock
3932,DS_5,Rock
8196,DS_5,Rock
1060,DS_5,Jazz
11299,DS_5,Hip-Hop
1039,DS_5,Rock
772,DS_5,Soul-RnB
6759,DS_5,Electronic
10552,DS_5,Experimental
1532,DS_5,Rock
1424,DS_5,Rock
11364,DS_5,Experimental
12452,DS_5,Rock
4271,DS_5,Rock
13226,DS_5,Electronic
13556,DS_5,Rock
9284,DS_5,Experimental
8216,DS_5,Rock
10725,DS_5,Rock
3373,DS_5,Experimental
1435,DS_5,Electronic
10251,DS_5,Instrumental
14776,DS_5,Electronic
7503,DS_5,Rock
6527,DS_5,Rock
13220,DS_5,Pop
14155,DS_5,Rock
1866,DS_5,Electronic
859,DS_5,Rock
12610,DS_5,Rock
14794,DS_5,Electronic
14347,DS_5,Electronic
13999,DS_5,Country
11993,DS_5,Electronic
757,DS_5,Soul-RnB
4684,DS_5,Hip-Hop
9155,DS_5,Experimental
3974,DS_5,Rock
10544,DS_5,Experimental
1370,DS_5,Rock
1573,DS_5,Experimental
4129,DS_5,Rock
8213,DS_5,Rock
300,DS_5,Experimental
2016,DS_5,Rock
5079,DS_5,Rock
5993,DS_5,Rock
11856,DS_5,Hip-Hop
10080,DS_5,Electronic
840,DS_5,Rock
1174,DS_5,Rock
4841,DS_5,Rock
13663,DS_5,Electronic
8084,DS_5,Experimental
1415,DS_5,Rock
8378,DS_5,Experimental
3749,DS_5,Rock
1943,DS_5,Rock
12987,DS_5,Electronic
11717,DS_5,Rock
3698,DS_5,Rock
1597,DS_5,Rock
8582,DS_5,Jazz
14062,DS_5,Jazz
1606,DS_5,Rock
